"","participant","block","block_condition","questType","conditionName","log_crowding_distance_deg","questSDAtEndOfTrialsLoop","font","Grade","Skilled reader?","age","ParticipantCode","order","targetEccentricityXDeg","targetEccentricityYDeg","bouma_factor"
"137","krwi07",1,"1_2","Foveal crowding","crowding foveal",-0.905523497,0.095740673,"Sloan.woff2","2","unkown",6.64444444444444,"krwi07",98,0,0,Inf
"138","krwi07",2,"2_1","Foveal crowding","crowding foveal",-0.889808531,0.08124808,"Pelli.woff2","2","unkown",6.64444444444444,"krwi07",98,0,0,Inf
"139","krwi07",5,"5_2","Peripheral crowding","crowding +5",-0.22815434,0.083401338,"Sloan.woff2","2","unkown",6.64444444444444,"krwi07",98,5,0,0.118270288354334
"140","kvml09",1,"1_2","Foveal crowding","crowding foveal",-0.831563701,0.090724639,"Sloan.woff2","4","unkown",8.79444444444444,"kvml09",100,0,0,Inf
"141","kvml09",2,"2_1","Foveal crowding","crowding foveal",-1.012486994,0.084055921,"Pelli.woff2","4","unkown",8.79444444444444,"kvml09",100,0,0,Inf
"142","kvml09",5,"5_1","Peripheral crowding","crowding -5",-0.401390506,0.145567028,"Sloan.woff2","4","unkown",8.79444444444444,"kvml09",100,-5,0,0.0793669131908999
"143","kvml09",5,"5_2","Peripheral crowding","crowding +5",-0.520353393,0.077026569,"Sloan.woff2","4","unkown",8.79444444444444,"kvml09",100,5,0,0.0603499066503195
"144","kcfm06",1,"1_2","Foveal crowding","crowding foveal",-0.705747627,0.09789398,"Sloan.woff2","1","unkown",6.52222222222222,"kcfm06",101,0,0,Inf
"145","kcfm06",2,"2_1","Foveal crowding","crowding foveal",-0.93984294,0.09607256,"Pelli.woff2","1","unkown",6.52222222222222,"kcfm06",101,0,0,Inf
"146","kcfm06",5,"5_2","Peripheral crowding","crowding +5",0.167234584,0.130700779,"Sloan.woff2","1","unkown",6.52222222222222,"kcfm06",101,5,0,0.293943986388684
"147","kree08",1,"1_2","Foveal crowding","crowding foveal",-0.711475924,0.09874945,"Sloan.woff2","3","unkown",7.96666666666667,"kree08",102,0,0,Inf
"148","kree08",2,"2_1","Foveal crowding","crowding foveal",-0.901029015,0.083342783,"Pelli.woff2","3","unkown",7.96666666666667,"kree08",102,0,0,Inf
"149","kree08",5,"5_2","Peripheral crowding","crowding +5",-0.291458428,0.081136226,"Sloan.woff2","3","unkown",7.96666666666667,"kree08",102,5,0,0.102228400955262
"150","krsh05",1,"1_2","Foveal crowding","crowding foveal",-0.674103289,0.09309987,"Sloan.woff2","0","unkown",4.85277777777778,"krsh05",108,0,0,Inf
"151","krsh05",2,"2_1","Foveal crowding","crowding foveal",-0.885722955,0.143006551,"Pelli.woff2","0","unkown",4.85277777777778,"krsh05",108,0,0,Inf
"152","krsh05",5,"5_1","Peripheral crowding","crowding -5",-0.300925121,0.181324631,"Sloan.woff2","0","unkown",4.85277777777778,"krsh05",108,-5,0,0.100024151199724
"153","krsh05",5,"5_2","Peripheral crowding","crowding +5",0.165515543,0.090115449,"Sloan.woff2","0","unkown",4.85277777777778,"krsh05",108,5,0,0.29278278574919
"154","krgl07",1,"1_2","Foveal crowding","crowding foveal",-0.921455944,0.102690818,"Sloan.woff2","2","unkown",7.32222222222222,"krgl07",111,0,0,Inf
"155","krgl07",2,"2_1","Foveal crowding","crowding foveal",-1.203312825,0.077752461,"Pelli.woff2","2","unkown",7.32222222222222,"krgl07",111,0,0,Inf
"156","krgl07",5,"5_2","Peripheral crowding","crowding +5",-0.418299179,0.186614804,"Sloan.woff2","2","unkown",7.32222222222222,"krgl07",111,5,0,0.0763362491456325
"157","kcaa07",1,"1_2","Foveal crowding","crowding foveal",-0.663644861,0.096004844,"Sloan.woff2","2","unkown",6.98888888888889,"kcaa07",112,0,0,Inf
"158","kcaa07",2,"2_1","Foveal crowding","crowding foveal",-0.875601192,0.077240134,"Pelli.woff2","2","unkown",6.98888888888889,"kcaa07",112,0,0,Inf
"159","kcaa07",5,"5_1","Peripheral crowding","crowding -5",0.268177535,0.140337387,"Sloan.woff2","2","unkown",6.98888888888889,"kcaa07",112,-5,0,0.370857896493864
"160","kcaa07",5,"5_2","Peripheral crowding","crowding +5",0.047850242,0.100273007,"Sloan.woff2","2","unkown",6.98888888888889,"kcaa07",112,5,0,0.223295637123994
"161","krcj09",1,"1_2","Foveal crowding","crowding foveal",-1.010546411,0.094689771,"Sloan.woff2","4","unkown",9.06111111111111,"krcj09",117,0,0,Inf
"162","krcj09",2,"2_1","Foveal crowding","crowding foveal",-1.193230147,0.082361272,"Pelli.woff2","4","unkown",9.06111111111111,"krcj09",117,0,0,Inf
"163","kvfj09",1,"1_2","Foveal crowding","crowding foveal",-0.771927422,0.092130671,"Sloan.woff2","3","unkown",8.58888888888889,"kvfj09",121,0,0,Inf
"164","kvfj09",2,"2_1","Foveal crowding","crowding foveal",-1.104963325,0.079478797,"Pelli.woff2","3","unkown",8.58888888888889,"kvfj09",121,0,0,Inf
"165","kvfj09",5,"5_1","Peripheral crowding","crowding -5",-0.30496284,0.14329631,"Sloan.woff2","3","unkown",8.58888888888889,"kvfj09",121,-5,0,0.0990985170698721
"166","kvfj09",5,"5_2","Peripheral crowding","crowding +5",-0.251209512,0.08085167,"Sloan.woff2","3","unkown",8.58888888888889,"kvfj09",121,5,0,0.112155476197519
"167","kcco09",1,"1_2","Foveal crowding","crowding foveal",-0.980832319,0.096184925,"Sloan.woff2","4","unkown",9.49444444444445,"kcco09",122,0,0,Inf
"168","kcco09",2,"2_1","Foveal crowding","crowding foveal",-1.306857878,0.079190653,"Pelli.woff2","4","unkown",9.49444444444445,"kcco09",122,0,0,Inf
"169","kcco09",5,"5_2","Peripheral crowding","crowding +5",-0.609250797,0.076713714,"Sloan.woff2","4","unkown",9.49444444444445,"kcco09",122,5,0,0.0491789439541026
"170","kvrr05",1,"1_2","Foveal crowding","crowding foveal",-0.891788072,0.157604993,"Sloan.woff2","0","unkown",5.06666666666667,"kvrr05",124,0,0,Inf
"171","kvrr05",2,"2_1","Foveal crowding","crowding foveal",-1.048345116,0.105358261,"Pelli.woff2","0","unkown",5.06666666666667,"kvrr05",124,0,0,Inf
"172","kvrr05",5,"5_2","Peripheral crowding","crowding +5",0.238248708,0.122685962,"Sloan.woff2","0","unkown",5.06666666666667,"kvrr05",124,5,0,0.346161451831765
"173","krtm06",1,"1_2","Foveal crowding","crowding foveal",-0.700527151,0.093450875,"Sloan.woff2","1","unkown",6.61944444444444,"krtm06",130,0,0,Inf
"174","krtm06",2,"2_1","Foveal crowding","crowding foveal",-1.032241015,0.105169704,"Pelli.woff2","1","unkown",6.61944444444444,"krtm06",130,0,0,Inf
"175","krtm06",5,"5_2","Peripheral crowding","crowding +5",-0.191446225,0.090608578,"Sloan.woff2","1","unkown",6.61944444444444,"krtm06",130,5,0,0.12870154803234
"176","krgh10",1,"1_2","Foveal crowding","crowding foveal",-1.084871624,0.088565451,"Sloan.woff2","5","unkown",10.2166666666667,"krgh10",133,0,0,Inf
"177","krgh10",2,"2_1","Foveal crowding","crowding foveal",-1.225179537,0.090692241,"Pelli.woff2","5","unkown",10.2166666666667,"krgh10",133,0,0,Inf
"178","krgh10",5,"5_2","Peripheral crowding","crowding +5",-0.758185408,0.076835211,"Sloan.woff2","5","unkown",10.2166666666667,"krgh10",133,5,0,0.0349015397924152
"179","kckso9",1,"1_2","Foveal crowding","crowding foveal",-0.807068767,0.10046179,"Sloan.woff2","-1","unkown",NA,"kckso9",135,0,0,Inf
"180","kckso9",2,"2_1","Foveal crowding","crowding foveal",-1.046029415,0.07656536,"Pelli.woff2","-1","unkown",NA,"kckso9",135,0,0,Inf
"181","kckso9",5,"5_2","Peripheral crowding","crowding +5",-0.305781743,0.076583069,"Sloan.woff2","-1","unkown",NA,"kckso9",135,5,0,0.0989118335764265
"182","krnn08",1,"1_2","Foveal crowding","crowding foveal",-0.80024232,0.096432575,"Sloan.woff2","3","unkown",8.62222222222222,"krnn08",137,0,0,Inf
"183","krnn08",2,"2_1","Foveal crowding","crowding foveal",-0.981166775,0.089428801,"Pelli.woff2","3","unkown",8.62222222222222,"krnn08",137,0,0,Inf
"184","kvaa09",1,"1_2","Foveal crowding","crowding foveal",-0.84666571,0.099802359,"Sloan.woff2","4","unkown",8.79444444444444,"kvaa09",138,0,0,Inf
"185","kvaa09",2,"2_1","Foveal crowding","crowding foveal",-1.066141337,0.075070761,"Pelli.woff2","4","unkown",8.79444444444444,"kvaa09",138,0,0,Inf
"186","kvaa09",5,"5_1","Peripheral crowding","crowding -5",-0.30496284,0.14329631,"Sloan.woff2","4","unkown",8.79444444444444,"kvaa09",138,-5,0,0.0990985170698721
"187","kura06",1,"1_2","Foveal crowding","crowding foveal",-0.594682754,0.095408265,"Sloan.woff2","-1","unkown",NA,"kura06",143,0,0,Inf
"188","kura06",2,"2_1","Foveal crowding","crowding foveal",-0.912323152,0.144815955,"Pelli.woff2","-1","unkown",NA,"kura06",143,0,0,Inf
"189","kcai05",1,"1_2","Foveal crowding","crowding foveal",-0.61221141,0.094375149,"Sloan.woff2","0","unkown",5.19722222222222,"kcai05",144,0,0,Inf
"190","kcai05",2,"2_1","Foveal crowding","crowding foveal",-0.899852116,0.103941724,"Pelli.woff2","0","unkown",5.19722222222222,"kcai05",144,0,0,Inf
"191","kcwo08",1,"1_2","Foveal crowding","crowding foveal",-0.956139251,0.095157711,"Sloan.woff2","3","unkown",8.09166666666667,"kcwo08",146,0,0,Inf
"192","kcwo08",2,"2_1","Foveal crowding","crowding foveal",-1.298341985,0.078539621,"Pelli.woff2","3","unkown",8.09166666666667,"kcwo08",146,0,0,Inf
"193","kcwo08",5,"5_1","Peripheral crowding","crowding -5",-0.579787604,0.129618712,"Sloan.woff2","3","unkown",8.09166666666667,"kcwo08",146,-5,0,0.0526310933000935
"194","kcwo08",5,"5_2","Peripheral crowding","crowding +5",-0.619108414,0.079731981,"Sloan.woff2","3","unkown",8.09166666666667,"kcwo08",146,5,0,0.0480752533583025
"195","kclw09",1,"1_2","Foveal crowding","crowding foveal",-0.806758907,0.124301171,"Sloan.woff2","-1","unkown",NA,"kclw09",147,0,0,Inf
"196","kclw09",2,"2_1","Foveal crowding","crowding foveal",-0.967138167,0.078182088,"Pelli.woff2","-1","unkown",NA,"kclw09",147,0,0,Inf
"197","kclw09",5,"5_2","Peripheral crowding","crowding +5",-0.64691857,0.079427552,"Sloan.woff2","-1","unkown",NA,"kclw09",147,5,0,0.0450932384102889
"198","krph07",1,"1_2","Foveal crowding","crowding foveal",-0.900737324,0.091702558,"Sloan.woff2","2","unkown",7.12222222222222,"krph07",149,0,0,Inf
"199","krph07",2,"2_1","Foveal crowding","crowding foveal",-1.10560932,0.083842837,"Pelli.woff2","2","unkown",7.12222222222222,"krph07",149,0,0,Inf
"200","krph07",5,"5_1","Peripheral crowding","crowding -5",-0.677657163,0.143850422,"Sloan.woff2","2","unkown",7.12222222222222,"krph07",149,-5,0,0.0420119492958768
"201","krph07",5,"5_2","Peripheral crowding","crowding +5",-0.481000238,0.074170566,"Sloan.woff2","2","unkown",7.12222222222222,"krph07",149,5,0,0.0660738719978634
"202","krwa10",1,"1_2","Foveal crowding","crowding foveal",-0.798767272,0.098199954,"Sloan.woff2","5","unkown",10.1305555555556,"krwa10",150,0,0,Inf
"203","krwa10",2,"2_1","Foveal crowding","crowding foveal",-1.150096125,0.101316934,"Pelli.woff2","5","unkown",10.1305555555556,"krwa10",150,0,0,Inf
"204","krwa10",5,"5_2","Peripheral crowding","crowding +5",-0.620105752,0.076304707,"Sloan.woff2","5","unkown",10.1305555555556,"krwa10",150,5,0,0.0479649773434049
"205","kcrf07",1,"1_2","Foveal crowding","crowding foveal",-0.811526327,0.097405231,"Sloan.woff2","2","unkown",7.57222222222222,"kcrf07",152,0,0,Inf
"206","kcrf07",2,"2_1","Foveal crowding","crowding foveal",-1.009151714,0.083325682,"Pelli.woff2","2","unkown",7.57222222222222,"kcrf07",152,0,0,Inf
"207","kcrf07",5,"5_1","Peripheral crowding","crowding -5",-0.424518934,0.146884161,"Sloan.woff2","2","unkown",7.57222222222222,"kcrf07",152,-5,0,0.0752507896623621
"208","kvsa09",1,"1_2","Foveal crowding","crowding foveal",-0.784564417,0.097563852,"Sloan.woff2","4","unkown",9.09444444444444,"kvsa09",154,0,0,Inf
"209","kvsa09",2,"2_1","Foveal crowding","crowding foveal",-0.936330285,0.102338126,"Pelli.woff2","4","unkown",9.09444444444444,"kvsa09",154,0,0,Inf
"210","kvsa09",5,"5_1","Peripheral crowding","crowding -5",-0.195132975,0.138603388,"Sloan.woff2","4","unkown",9.09444444444444,"kvsa09",154,-5,0,0.127613617720201
"211","kvsa09",5,"5_2","Peripheral crowding","crowding +5",-0.405210017,0.076615707,"Sloan.woff2","4","unkown",9.09444444444444,"kvsa09",154,5,0,0.0786719615453238
