WebGL_Report,WebGLVersion,maxTextureSize,maxViewportSize,WebGLUnmaskedRenderer,deviceMemoryGB,frameRateReportedByPsychoJS,computeRandomMHz,expName,date,psychopyVersion,hardwareConcurrency,deviceType,deviceSystem,deviceSystemFamily,deviceBrowser,deviceBrowserVersion,deviceLanguage,psychojsWindowDimensions,participant,session,EasyEyesID,PavloviaSessionID,ProlificParticipantID,ProlificSessionID,ProlificStudyID,_needsUnmet,name,requestedCrossSessionId,_s,experimentFilename,experiment,monitorFrameRate,setSession,UTC,experimentCompleteBool
"{""WebGL_Version"":2,""GLSL_Version"":""WebGL GLSL ES 3.00"",""WebGL_Vendor"":""WebKit"",""WebGL_Renderer"":""WebKit WebGL"",""Unmasked_Vendor"":""Apple Inc."",""Unmasked_Renderer"":""Apple GPU"",""maxTextureSize"":16384,""maxViewportSize"":16384,""deviceMemory"":""""}",2,16384,16384,Apple GPU,,NAN,13.284,threshold,2025-02-25_10h38.51.315,2022.1.3-threshold-prod,8,desktop,OS X 10.15.7,OS X,Safari,18.1.1,it-IT,"[1324,724]",WiseNeonApple732,0001,WiseNeonApple732,WiseNeonApple732,,,,_needBrowser,threshold,FALSE,1,RsvpAndCrowdingItalian.xlsx,RsvpAndCrowdingItalian58,NAN,,UTC+1,
,,,,,,,,threshold,2025-02-25_10h38.51.315,2022.1.3-threshold-prod,8,desktop,OS X 10.15.7,OS X,Safari,18.1.1,it-IT,"[1324,724]",WiseNeonApple732,0001,WiseNeonApple732,WiseNeonApple732,,,,,threshold,FALSE,1,RsvpAndCrowdingItalian.xlsx,RsvpAndCrowdingItalian58,NAN,,UTC+1,FALSE
